# x_m,y_m,w_tr_right_m,w_tr_left_m
11.0993,-3.2502,1.5882,1.5882
11.1493,-3.2002,1.5882,1.5882
11.1993,-3.2002,1.5811,1.5811
11.2493,-3.1502,1.5882,1.5882
11.2993,-3.1002,1.5692,1.5692
11.3493,-3.1002,1.5882,1.5882
11.3993,-3.0502,1.5811,1.5811
11.4493,-3.0502,1.5811,1.5811
11.4993,-3.0002,1.5945,1.5945
11.5493,-2.9502,1.5945,1.5945
11.5993,-2.9002,1.5914,1.5914
11.6493,-2.9002,1.5811,1.5811
11.6993,-2.8502,1.5914,1.5914
11.7493,-2.8002,1.5914,1.5914
11.7993,-2.7502,1.5914,1.5914
11.8493,-2.7002,1.5914,1.5914
11.8993,-2.6502,1.5914,1.5914
11.9493,-2.6002,1.5914,1.5914
11.9993,-2.6002,1.5700,1.5700
12.0493,-2.5502,1.5811,1.5811
12.0993,-2.5002,1.5953,1.5953
12.1493,-2.4502,1.5945,1.5945
12.1993,-2.4002,1.5914,1.5914
12.2493,-2.3502,1.5914,1.5914
12.2993,-2.3002,1.5914,1.5914
12.3493,-2.2502,1.5914,1.5914
12.3993,-2.2002,1.5914,1.5914
12.4493,-2.1502,1.5914,1.5914
12.4993,-2.1002,1.5945,1.5945
12.5493,-2.0502,1.5945,1.5945
12.5493,-2.0002,1.5700,1.5700
12.5993,-1.9502,1.5811,1.5811
12.6493,-1.9002,1.5953,1.5953
12.6993,-1.8502,1.5953,1.5953
12.6993,-1.8002,1.5811,1.5811
12.7493,-1.7502,1.5953,1.5953
12.7493,-1.7002,1.5692,1.5692
12.7993,-1.6502,1.5882,1.5882
12.8493,-1.6002,1.5882,1.5882
12.8493,-1.5502,1.5882,1.5882
12.8993,-1.5002,1.5882,1.5882
12.8993,-1.4502,1.5882,1.5882
12.8993,-1.4002,1.5652,1.5652
12.8993,-1.3502,1.5435,1.5435
12.9493,-1.3002,1.5652,1.5652
12.9493,-1.2502,1.5435,1.5435
12.9493,-1.2002,1.5207,1.5207
12.9493,-1.1502,1.4983,1.4983
12.9493,-1.1002,1.4765,1.4765
12.9993,-1.0502,1.4983,1.4983
12.9993,-1.0002,1.4773,1.4773
12.9993,-0.9502,1.4577,1.4577
12.9993,-0.9002,1.4396,1.4396
12.9993,-0.8502,1.4230,1.4230
13.0493,-0.8002,1.4560,1.4560
13.0493,-0.7502,1.4431,1.4431
13.0493,-0.7002,1.4318,1.4318
13.0493,-0.6502,1.4221,1.4221
13.0993,-0.6002,1.4637,1.4637
13.0993,-0.5502,1.4577,1.4577
13.0993,-0.5002,1.4534,1.4534
13.0993,-0.4502,1.4509,1.4509
13.0993,-0.4002,1.4500,1.4500
13.1493,-0.3502,1.5000,1.5000
13.1493,-0.3002,1.5000,1.5000
13.1493,-0.2502,1.5000,1.5000
13.1493,-0.2002,1.5000,1.5000
13.1493,-0.1502,1.5000,1.5000
13.1493,-0.1002,1.5000,1.5000
13.1993,-0.0502,1.5500,1.5500
13.1993,-0.0002,1.5500,1.5500
13.1993,0.0498,1.5500,1.5500
13.1993,0.0998,1.5500,1.5500
13.1993,0.1498,1.5500,1.5500
13.1993,0.1998,1.5500,1.5500
13.1993,0.2498,1.5500,1.5500
13.1993,0.2998,1.5500,1.5500
13.1993,0.3498,1.5500,1.5500
13.1993,0.3998,1.5500,1.5500
13.1993,0.4498,1.5500,1.5500
13.1993,0.4998,1.5500,1.5500
13.1993,0.5498,1.5500,1.5500
13.1993,0.5998,1.5500,1.5500
13.1993,0.6498,1.5500,1.5500
13.1993,0.6998,1.5500,1.5500
13.1993,0.7498,1.5500,1.5500
13.1993,0.7998,1.5500,1.5500
13.1993,0.8498,1.5500,1.5500
13.1993,0.8998,1.5500,1.5500
13.1493,0.9498,1.5000,1.5000
13.1493,0.9998,1.5008,1.5008
13.1493,1.0498,1.5033,1.5033
13.1493,1.0998,1.5075,1.5075
13.1493,1.1498,1.5133,1.5133
13.1493,1.1998,1.5207,1.5207
13.1493,1.2498,1.5297,1.5297
13.1493,1.2998,1.5403,1.5403
13.1493,1.3498,1.5500,1.5500
13.0993,1.3998,1.5000,1.5000
13.0993,1.4498,1.5000,1.5000
13.0993,1.4998,1.5000,1.5000
13.0993,1.5498,1.5000,1.5000
13.0993,1.5998,1.5000,1.5000
13.0993,1.6498,1.5008,1.5008
13.0993,1.6998,1.5033,1.5033
13.0493,1.7498,1.4577,1.4577
13.0493,1.7998,1.4637,1.4637
13.0493,1.8498,1.4714,1.4714
13.0493,1.8998,1.4807,1.4807
13.0493,1.9498,1.4916,1.4916
13.0493,1.9998,1.5042,1.5042
12.9993,2.0498,1.4705,1.4705
12.9993,2.0998,1.4866,1.4866
12.9993,2.1498,1.5042,1.5042
12.9493,2.1998,1.4705,1.4705
12.9493,2.2498,1.4807,1.4807
12.9493,2.2998,1.4916,1.4916
12.9493,2.3498,1.5042,1.5042
12.9493,2.3998,1.5182,1.5182
12.9493,2.4498,1.5338,1.5338
12.8993,2.4998,1.5042,1.5042
12.8993,2.5498,1.5232,1.5232
12.8993,2.5998,1.5435,1.5435
12.8993,2.6498,1.5652,1.5652
12.8993,2.6998,1.5882,1.5882
12.8993,2.7498,1.5811,1.5811
12.8493,2.7998,1.5811,1.5811
12.8493,2.8498,1.5890,1.5890
12.7993,2.8998,1.5692,1.5692
12.7993,2.9498,1.5890,1.5890
12.7993,2.9998,1.5811,1.5811
12.7493,3.0498,1.5811,1.5811
12.7493,3.0998,1.5977,1.5977
12.7493,3.1498,1.5811,1.5811
12.7493,3.1998,1.5660,1.5660
12.6993,3.2498,1.5977,1.5977
12.6993,3.2998,1.5811,1.5811
12.6993,3.3498,1.5652,1.5652
12.6993,3.3998,1.5435,1.5435
12.6993,3.4498,1.5207,1.5207
12.6993,3.4998,1.4983,1.4983
12.6493,3.5498,1.5232,1.5232
12.6493,3.5998,1.5042,1.5042
12.6493,3.6498,1.4866,1.4866
12.6493,3.6998,1.4705,1.4705
12.6493,3.7498,1.4560,1.4560
12.6493,3.7998,1.4431,1.4431
12.5993,3.8498,1.4807,1.4807
12.5993,3.8998,1.4714,1.4714
12.5993,3.9498,1.4637,1.4637
12.5993,3.9998,1.4577,1.4577
12.5993,4.0498,1.4534,1.4534
12.5493,4.0998,1.5008,1.5008
12.5493,4.1498,1.5000,1.5000
12.5493,4.1998,1.5000,1.5000
12.5493,4.2498,1.5008,1.5008
12.4993,4.2998,1.5532,1.5532
12.4993,4.3498,1.5572,1.5572
12.4993,4.3998,1.5628,1.5628
12.4993,4.4498,1.5700,1.5700
12.4493,4.4998,1.6279,1.6279
12.4493,4.5498,1.6378,1.6378
12.4493,4.5998,1.6492,1.6492
12.3993,4.6498,1.7103,1.7103
12.3993,4.6998,1.7241,1.7241
12.3993,4.7498,1.7393,1.7393
12.3993,4.7998,1.7557,1.7557
12.3493,4.8498,1.8200,1.8200
12.3493,4.8998,1.8385,1.8385
12.3493,4.9498,1.8581,1.8581
